Dia,P/L,LPA,Mês,P/VP,VPA,30 dias,P/EBIT,Marg. Bruta,12 meses,PSR,Marg. EBIT,2020,P/Ativos,Marg. Líquida,2019,P/Cap. Giro,EBIT / Ativo,2018,P/Ativ Circ Liq,ROIC,2017,Div. Yield,ROE,2016,EV / EBITDA,Liquidez Corr,2015,EV / EBIT,Div Br/ Patrim,Cres. Rec (5a),Giro Ativos,ticker
-0.001,49.34,0.43,-0.001,1.93,10.89,0.10529999999999999,19.63,0.267,0.3628,2.32,0.11800000000000001,0.1564,1.01,0.057,0.3716,87.27,0.051,-0.1005,-3.65,0.055,0.0103,0.004,0.039,-0.2368,13.08,1.07,0.0,23.94,0.5,-0.006,0.43,AALR3
0.0479,10.69,2.13,0.0479,1.26,18.12,0.0964,0.0,0.0,0.2079,0.0,0.0,0.1505,0.0,0.0,0.2682,0.0,0.0,0.0564,0.0,0.0,0.3336,0.046,0.11699999999999999,0.7739,0.0,0.0,-0.27940000000000004,0.0,0.0,-0.14300000000000002,0.0,ABCB4
-0.0146,25.07,0.7,-0.0146,4.21,4.18,-0.0708,16.96,0.595,-0.0072,5.25,0.309,-0.057800000000000004,2.7,0.217,0.2408,38.64,0.159,-0.2559,-42.91,0.214,0.331,0.027999999999999997,0.168,-0.0496,12.86,1.33,0.1371,16.29,0.06,0.042,0.51,ABEV3
-0.0069,-3.49,-0.82,-0.0069,-1.1,-2.61,0.2213,-4.85,1.0,0.9133,657.75,-135.485,0.09539999999999998,89.69,-188.606,0.7467,-1.22,-18.475,-0.2647,-1.09,5.2170000000000005,-0.3544,0.0,0.315,0.0,-4.96,0.0,0.0,-4.85,0.0,0.435,0.14,ADHM3
0.065,25.23,0.51,0.065,3.72,3.44,0.139,25.59,0.7859999999999999,1.7134,19.7,0.77,0.1534,3.54,0.7809999999999999,1.0146,11.26,0.138,0.1506,12.57,0.18100000000000002,0.9351999999999999,0.008,0.147,0.39549999999999996,23.97,22.45,0.0473,23.97,0.01,0.35700000000000004,0.18,AFLT3
0.0087,30.16,0.65,0.0087,1.3,15.12,0.0098,11.86,0.292,0.2786,2.32,0.195,0.0326,0.83,0.154,0.2851,5.87,0.07,0.31670000000000004,-17.27,0.08199999999999999,0.154,0.043,0.043,0.0587,11.86,1.81,0.4241,14.52,0.41,0.11800000000000001,0.36,AGRO3
0.0,-4.95,-6.06,0.0,13.88,2.16,-0.1396,-4.91,0.374,-0.0642,2.09,-0.426,-0.1396,0.91,-0.42200000000000004,-0.44079999999999997,-9.83,-0.18600000000000003,-0.2582,-1.08,-0.203,1.2663,0.0,-2.801,3.0022,-6.41,0.49,-0.23070000000000002,-4.74,0.0,-0.158,0.44,AHEB3
0.0333,79.49,0.39,0.0333,7.19,4.31,0.1401,37.97,0.444,0.9974,4.39,0.11599999999999999,0.124,4.18,0.05,1.107,13.85,0.11,-0.0143,27.03,0.14,0.9587,0.0,0.09,-0.0504,28.44,2.18,0.6301,37.74,0.17,-0.005,0.95,ALPA3
0.0089,92.73,0.39,0.0089,8.39,4.31,0.1099,44.29,0.444,1.2446,5.12,0.11599999999999999,0.0892,4.88,0.05,1.4394,16.16,0.11,0.0029,31.53,0.14,0.7831999999999999,0.0,0.09,0.43579999999999997,33.21,2.18,0.1497,44.06,0.17,-0.005,0.95,ALPA4
0.016399999999999998,846.68,0.06,0.016399999999999998,2.73,19.59,0.0395,43.85,0.759,0.8094,28.57,0.652,0.066,1.4,0.293,0.9764,19.34,0.032,0.037200000000000004,-5.15,0.034,0.5025,0.002,0.003,0.09480000000000001,34.08,4.07,-0.0256,41.76,0.0,0.09300000000000001,0.05,ALSO3
0.014499999999999999,10.23,2.93,0.014499999999999999,1.74,17.28,0.0548,4.12,0.5870000000000001,0.39390000000000003,2.28,0.5529999999999999,0.0873,0.54,0.39899999999999997,0.535,3.12,0.13,0.0345,-1.94,0.163,0.1091,0.015,0.17,0.4797,5.54,2.79,-0.2032,5.82,1.29,0.207,0.23,ALUP11
-0.009399999999999999,11.87,0.98,-0.009399999999999999,2.01,5.76,0.0175,4.78,0.5870000000000001,0.5761,2.65,0.5529999999999999,0.0175,0.62,0.39899999999999997,0.5489,3.62,0.13,-0.028999999999999998,-2.25,0.163,0.012,0.013000000000000001,0.17,0.5162,6.17,2.79,0.0,6.48,1.29,0.207,0.23,ALUP3
0.012199999999999999,9.36,0.98,0.012199999999999999,1.59,5.76,0.0828,3.77,0.5870000000000001,0.3053,2.09,0.5529999999999999,0.0828,0.49,0.39899999999999997,0.5794,2.85,0.13,0.06570000000000001,-1.78,0.163,0.2519,0.016,0.17,-0.06309999999999999,5.2,2.79,0.0,5.47,1.29,0.207,0.23,ALUP4
0.011200000000000002,64.0,0.21,0.011200000000000002,4.21,3.22,-0.027999999999999997,15.19,0.445,1.1287,1.27,0.083,0.021099999999999997,1.01,0.005,1.5588,7.73,0.067,-0.2841,-4.91,0.08199999999999999,0.2164,0.0,0.066,0.2289,9.72,1.31,-0.6323,21.4,1.92,-0.037000000000000005,0.8,AMAR3
0.022799999999999997,6192.29,0.01,0.022799999999999997,6.1,6.18,0.26039999999999996,41.81,0.406,0.8587,3.61,0.086,0.2672,1.93,0.001,0.7524,-41.35,0.046,-0.3924,-3.77,0.049,1.0881,0.0,0.001,0.0053,24.8,0.79,-0.5755,50.81,1.47,0.078,0.54,ANIM3
0.050499999999999996,-2.49,-12.0,0.050499999999999996,3.54,8.46,-0.0339,-2.42,1.0,0.1632,3.9,-1.6130000000000002,0.032400000000000005,2.1,-1.5619999999999998,0.6831,595.69,-0.8690000000000001,0.4714,-9.53,-0.9790000000000001,-0.39299999999999996,0.0,-1.419,-0.0026,-2.44,1.02,-0.6823,-2.33,0.0,-0.19399999999999998,0.54,APER3
0.0181,38.32,1.6,0.0181,7.86,7.81,-0.0256,32.39,0.46299999999999997,0.1358,3.44,0.106,-0.0408,4.01,0.09,0.19579999999999997,11.98,0.124,0.033,20.82,0.17800000000000002,1.2945,0.026000000000000002,0.205,0.2325,22.4,1.97,-0.15689999999999998,31.88,0.27,0.1,1.17,ARZZ3
0.0508,13.39,0.14,0.0508,9.1,0.2,0.0941,15.92,1.0,-0.259,5.91,0.371,0.11380000000000001,3.06,0.442,-0.3239,3.4,0.192,-0.2778,12.43,0.742,0.14,0.0,0.68,-0.2593,12.07,102.26,5.75,12.07,0.0,0.7659999999999999,0.52,ATOM3
-0.048499999999999995,-0.32,-24.72,-0.048499999999999995,-0.2,-39.22,0.12140000000000001,-0.75,-0.86,-0.7585,0.86,-1.151,0.16820000000000002,0.72,-2.721,-0.8506999999999999,-0.28,-0.956,2.6289999999999996,-0.17,-1.925,-0.008,0.0,0.63,0.7483,-1.34,0.13,-0.3992,-1.26,-0.14,-0.414,0.83,AZEV3
0.0426,-0.2,-24.72,0.0426,-0.12,-39.22,0.1422,-0.47,-0.86,-0.1478,0.54,-1.151,0.1011,0.45,-2.721,-0.0825,-0.17,-0.956,-0.0849,-0.11,-1.925,0.0392,0.0,0.63,-0.2444,-1.04,0.13,-0.2151,-0.98,-0.14,-0.414,0.83,AZEV4
0.0147,122.66,0.49,0.0147,-31.87,-1.89,0.0594,13.68,0.255,0.6164000000000001,1.93,0.141,0.0317,1.1,0.016,0.6189,-10.24,0.081,0.3383,-1.35,0.095,0.2009,0.0,-0.26,0.0,8.19,0.67,0.0,14.9,-5.27,0.203,0.57,AZUL4
0.0392,40.23,1.25,0.0392,4.07,12.32,0.1433,34.8,0.97,0.6099,17.72,0.509,0.1746,2.52,0.44,0.6325999999999999,43.04,0.07200000000000001,0.2079,-25.37,0.098,0.40490000000000004,0.023,0.10099999999999999,0.5525,24.73,1.26,0.2198,33.21,0.24,0.304,0.14,B3SA3
0.0001,-32.94,-3.04,0.0001,4.16,24.02,-0.0195,-23.94,0.345,-0.22190000000000001,4.68,-0.195,0.0252,1.2,-0.158,-0.20809999999999998,5.24,-0.05,1.2066,-4.07,-0.08,1.1265,0.0,-0.126,-0.0128,-19.96,2.34,-0.34759999999999996,-17.61,0.18,0.345,0.26,BAHI3
0.0,46.06,0.25,0.0,1.1,10.43,0.0,10.77,0.52,0.058899999999999994,0.75,0.07,0.0,0.58,0.013000000000000001,0.058899999999999994,1.9,0.054000000000000006,0.33909999999999996,3.29,0.06,0.5656,0.012,0.024,0.0,9.87,2.02,0.0,12.3,0.29,0.055999999999999994,0.77,BALM3
0.0073,55.47,0.25,0.0073,1.33,10.43,0.4147,12.97,0.52,0.0022,0.9,0.07,0.4133,0.7,0.013000000000000001,-0.2909,2.29,0.054000000000000006,0.6107,3.96,0.06,0.1042,0.01,0.024,-0.0672,11.63,2.02,-0.2441,14.5,0.29,0.055999999999999994,0.77,BALM4
0.0231,18.24,4.88,0.0231,6.4,13.9,0.1531,31.26,0.256,3.218,2.66,0.085,0.141,4.22,0.146,3.1913,16.11,0.135,0.7757999999999999,18.66,0.248,0.278,0.005,0.35100000000000003,0.2615,27.57,1.86,-0.2597,29.15,0.0,0.127,1.59,BAUH4
0.1097,7.03,6.19,0.1097,0.63,68.88,0.0886,0.0,0.0,0.7864,0.0,0.0,0.0875,0.0,0.0,0.7552,0.0,0.0,-0.0248,0.0,0.0,-0.0942,0.033,0.09,0.3382,0.0,0.0,0.0,0.0,0.0,-0.124,0.0,BAZA3
