ticker,setor,subsetor,segmento
AALR3,Saúde,Análises e Diagnósticos,Análises e Diagnósticos
ABCB4,Financeiro,Intermediários Financeiros,Bancos
ABEV3,Consumo não Cíclico,Bebidas,Cervejas e Refrigerantes
ADHM3,Saúde,Análises e Diagnósticos,Análises e Diagnósticos
AFLT3,Utilidade Pública,Energia Elétrica,Energia Elétrica
AGRO3,Consumo não Cíclico,Agropecuária,Agricultura
AHEB3,Consumo Cíclico,Viagens e Lazer,Produção de Eventos e Shows
ALPA3,Consumo Cíclico,"Tecidos, Vestuário e Calçados",Calçados
ALPA4,Consumo Cíclico,"Tecidos, Vestuário e Calçados",Calçados
ALSO3,Financeiro,Exploração de Imóveis,Exploração de Imóveis
ALUP11,Utilidade Pública,Energia Elétrica,Energia Elétrica
ALUP3,Utilidade Pública,Energia Elétrica,Energia Elétrica
ALUP4,Utilidade Pública,Energia Elétrica,Energia Elétrica
AMAR3,Consumo Cíclico,Comércio,"Tecidos, Vestuário e Calçados"
ANIM3,Consumo Cíclico,Diversos,Serviços Educacionais
APER3,Financeiro,Previdência e Seguros,Corretoras de Seguros
ARZZ3,Consumo Cíclico,Comércio,"Tecidos, Vestuário e Calçados"
ATOM3,Outros,Outros,Outros
AZEV3,Bens Industriais,Construção e Engenharia,Construção Pesada
AZEV4,Bens Industriais,Construção e Engenharia,Construção Pesada
AZUL4,Bens Industriais,Transporte,Transporte Aéreo
B3SA3,Financeiro,Serviços Financeiros Diversos,Serviços Financeiros Diversos
BAHI3,Consumo Cíclico,Diversos,Serviços Educacionais
BALM3,Saúde,Equipamentos,Equipamentos
BALM4,Saúde,Equipamentos,Equipamentos
BAUH4,Consumo não Cíclico,Alimentos Processados,Carnes e Derivados
BAZA3,Financeiro,Intermediários Financeiros,Bancos
BBAS3,Financeiro,Intermediários Financeiros,Bancos
BBDC3,Financeiro,Intermediários Financeiros,Bancos
BBDC4,Financeiro,Intermediários Financeiros,Bancos
BBRK3,Financeiro,Exploração de Imóveis,Intermediação Imobiliária
BBSE3,Financeiro,Previdência e Seguros,Seguradoras
BDLL3,Bens Industriais,Máquinas e Equipamentos,Máq. e Equip. Industriais
BDLL4,Bens Industriais,Máquinas e Equipamentos,Máq. e Equip. Industriais
BEEF3,Consumo não Cíclico,Alimentos Processados,Carnes e Derivados
BEES3,Financeiro,Intermediários Financeiros,Bancos
BEES4,Financeiro,Intermediários Financeiros,Bancos
BGIP3,Financeiro,Intermediários Financeiros,Bancos
BGIP4,Financeiro,Intermediários Financeiros,Bancos
BIDI11,Financeiro,Intermediários Financeiros,Bancos
BIDI3,Financeiro,Intermediários Financeiros,Bancos
BIDI4,Financeiro,Intermediários Financeiros,Bancos
BIOM3,Saúde,Medicamentos e Outros Produtos,Medicamentos e Outros Produtos
BKBR3,Consumo Cíclico,Hoteis e Restaurantes,Restaurante e Similares
BMEB3,Financeiro,Intermediários Financeiros,Bancos
BMEB4,Financeiro,Intermediários Financeiros,Bancos
BMGB4,Financeiro,Intermediários Financeiros,Bancos
BMIN3,Financeiro,Intermediários Financeiros,Bancos
BMIN4,Financeiro,Intermediários Financeiros,Bancos
BMKS3,Consumo Cíclico,Viagens e Lazer,Bicicletas
BNBR3,Financeiro,Intermediários Financeiros,Bancos
BOBR3,Consumo não Cíclico,Produtos de Uso Pessoal e de Limpeza,Produtos de Limpeza
BOBR4,Consumo não Cíclico,Produtos de Uso Pessoal e de Limpeza,Produtos de Limpeza
BPAC11,Financeiro,Intermediários Financeiros,Bancos
BPAC3,Financeiro,Intermediários Financeiros,Bancos
BPAC5,Financeiro,Intermediários Financeiros,Bancos
BPAN4,Financeiro,Intermediários Financeiros,Bancos
BRAP3,Materiais Básicos,Mineração,Minerais Metálicos
BRAP4,Materiais Básicos,Mineração,Minerais Metálicos
BRDT3,"Petróleo, Gás e Biocombustíveis","Petróleo, Gás e Biocombustíveis","Exploração, Refino e Distribuição"
BRFS3,Consumo não Cíclico,Alimentos Processados,Carnes e Derivados
BRGE11,Financeiro,Previdência e Seguros,Seguradoras
BRGE12,Financeiro,Previdência e Seguros,Seguradoras
BRGE3,Financeiro,Previdência e Seguros,Seguradoras
BRGE5,Financeiro,Previdência e Seguros,Seguradoras
BRGE6,Financeiro,Previdência e Seguros,Seguradoras
BRGE8,Financeiro,Previdência e Seguros,Seguradoras
BRIV3,Financeiro,Intermediários Financeiros,Bancos
BRIV4,Financeiro,Intermediários Financeiros,Bancos
BRKM3,Materiais Básicos,Químicos,Petroquímicos
BRKM5,Materiais Básicos,Químicos,Petroquímicos
BRKM6,Materiais Básicos,Químicos,Petroquímicos
BRML3,Financeiro,Exploração de Imóveis,Exploração de Imóveis
BRPR3,Financeiro,Exploração de Imóveis,Exploração de Imóveis
BRSR3,Financeiro,Intermediários Financeiros,Bancos
BRSR5,Financeiro,Intermediários Financeiros,Bancos
BRSR6,Financeiro,Intermediários Financeiros,Bancos
BSEV3,Consumo não Cíclico,Alimentos Processados,Açucar e Alcool
BSLI3,Financeiro,Intermediários Financeiros,Bancos
BTOW3,Consumo Cíclico,Comércio,Produtos Diversos
BTTL3,Bens Industriais,Comércio,Material de Transporte
CALI4,Consumo Cíclico,Construção Civil,Incorporações
CAMB3,Consumo Cíclico,"Tecidos, Vestuário e Calçados",Calçados
CAMB4,Consumo Cíclico,"Tecidos, Vestuário e Calçados",Calçados
CAML3,Consumo não Cíclico,Alimentos Processados,Alimentos Diversos
CARD3,Bens Industriais,Serviços Diversos,Serviços Diversos
CBEE3,Utilidade Pública,Energia Elétrica,Energia Elétrica
CCPR3,Financeiro,Exploração de Imóveis,Exploração de Imóveis
CCRO3,Bens Industriais,Transporte,Exploração de Rodovias
CCXC3,,,
CEBR3,Utilidade Pública,Energia Elétrica,Energia Elétrica
CEBR5,Utilidade Pública,Energia Elétrica,Energia Elétrica
CEBR6,Utilidade Pública,Energia Elétrica,Energia Elétrica
CEDO3,Consumo Cíclico,"Tecidos, Vestuário e Calçados",Fios e Tecidos
CEDO4,Consumo Cíclico,"Tecidos, Vestuário e Calçados",Fios e Tecidos
CEEB3,Utilidade Pública,Energia Elétrica,Energia Elétrica
CEEB5,Utilidade Pública,Energia Elétrica,Energia Elétrica
CEED3,Utilidade Pública,Energia Elétrica,Energia Elétrica
CEED4,Utilidade Pública,Energia Elétrica,Energia Elétrica
CEGR3,Utilidade Pública,Gás,Gás
CELP5,,,
CELP7,,,
CEPE5,Utilidade Pública,Energia Elétrica,Energia Elétrica
CEPE6,Utilidade Pública,Energia Elétrica,Energia Elétrica
CESP3,Utilidade Pública,Energia Elétrica,Energia Elétrica
CESP5,Utilidade Pública,Energia Elétrica,Energia Elétrica
CESP6,Utilidade Pública,Energia Elétrica,Energia Elétrica
CGAS3,Utilidade Pública,Gás,Gás
CGAS5,Utilidade Pública,Gás,Gás
CGRA3,Consumo Cíclico,Comércio,"Tecidos, Vestuário e Calçados"
CGRA4,Consumo Cíclico,Comércio,"Tecidos, Vestuário e Calçados"
CIEL3,Financeiro,Serviços Financeiros Diversos,Serviços Financeiros Diversos
CLSC3,Utilidade Pública,Energia Elétrica,Energia Elétrica
CLSC4,Utilidade Pública,Energia Elétrica,Energia Elétrica
CMIG3,Utilidade Pública,Energia Elétrica,Energia Elétrica
CMIG4,Utilidade Pública,Energia Elétrica,Energia Elétrica
CNTO3,Consumo Cíclico,Comércio,Produtos Diversos
COCE3,Utilidade Pública,Energia Elétrica,Energia Elétrica
COCE5,Utilidade Pública,Energia Elétrica,Energia Elétrica
COGN3,Consumo Cíclico,Diversos,Serviços Educacionais
CPFE3,Utilidade Pública,Energia Elétrica,Energia Elétrica
CPLE3,Utilidade Pública,Energia Elétrica,Energia Elétrica
CPLE6,Utilidade Pública,Energia Elétrica,Energia Elétrica
CPRE3,Utilidade Pública,Energia Elétrica,Energia Elétrica
CRDE3,Consumo Cíclico,Construção Civil,Incorporações
